127.0.0.1 - - [29/Jul/2021:09:58:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/index.jsp HTTP/1.1" 200 91467
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/fontawesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/nice-select/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/skrollr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/mail-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/img/product/95.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2021:09:58:52 +0900] "GET /littlePick/resources/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 304 -
